id,Csplus_location,day,block,block_type,trial,rating,trial_type
02BM,head,1,5,test,118,-10,CSplus_only
02BM,head,1,5,test,119,25,CSplus_UShigh
02BM,head,1,5,test,120,20,CSplus_UShigh
02BM,head,1,5,test,121,-35,CSminus_only
02BM,head,1,5,test,122,-5,CSminus_USlow
02BM,head,1,5,test,123,-35,CSplus_only
02BM,head,1,5,test,124,-5,UStest_only
02BM,head,1,5,test,125,25,CSplus_UShigh
02BM,head,1,5,test,126,-5,CSminus_USlow
02BM,head,1,5,test,127,-5,CSminus_UStest
02BM,head,1,5,test,128,-5,CSminus_USlow
02BM,head,1,5,test,129,5,UStest_only
02BM,head,1,5,test,130,35,CSplus_UShigh
02BM,head,1,5,test,131,10,CSplus_UStest
02BM,head,1,5,test,132,-30,CSminus_only
02BM,head,1,5,test,133,5,CSminus_UStest
02BM,head,1,5,test,134,10,CSminus_USlow
02BM,head,1,5,test,135,10,CSminus_USlow
02BM,head,1,5,test,136,5,UStest_only
02BM,head,1,5,test,137,10,CSplus_UStest
02BM,head,1,5,test,138,5,CSminus_UStest
02BM,head,1,5,test,139,35,CSplus_UShigh
02BM,head,1,5,test,140,-10,CSminus_USlow
02BM,head,1,5,test,141,20,CSplus_UShigh
02BM,head,1,5,test,142,10,CSplus_UShigh
02BM,head,1,5,test,143,10,CSminus_UStest
02BM,head,1,5,test,144,5,CSplus_UStest
02BM,head,1,5,test,145,5,CSminus_USlow
02BM,head,1,5,test,146,5,CSminus_USlow
02BM,head,1,5,test,147,20,CSplus_UShigh
02BM,head,1,5,test,148,8,CSminus_USlow
02BM,head,1,5,test,149,25,CSplus_UShigh
02BM,head,1,5,test,150,5,CSminus_UStest
02BM,head,1,5,test,151,5,CSplus_UStest
02BM,head,1,5,test,152,5,CSminus_USlow
02BM,head,1,5,test,153,-20,CSplus_only
02BM,head,1,5,test,154,5,CSplus_UStest
02BM,head,2,1,acquisition,1,-30,CSminus_USlow
02BM,head,2,1,acquisition,2,-10,CSplus_UShigh
02BM,head,2,1,acquisition,3,-15,CSminus_USlow
02BM,head,2,1,acquisition,4,-5,CSplus_UShigh
02BM,head,2,1,acquisition,5,-30,CSminus_USlow
02BM,head,2,1,acquisition,6,5,CSplus_UShigh
02BM,head,2,1,acquisition,7,-30,CSminus_USlow
02BM,head,2,1,acquisition,8,-30,CSminus_USlow
02BM,head,2,1,acquisition,9,10,CSplus_UShigh
02BM,head,2,1,acquisition,10,-30,CSminus_USlow
02BM,head,2,1,acquisition,11,5,CSplus_UShigh
02BM,head,2,1,acquisition,12,5,CSplus_UShigh
02BM,head,2,1,acquisition,13,-20,CSminus_USlow
02BM,head,2,1,acquisition,14,-5,CSplus_UShigh
02BM,head,2,1,acquisition,15,-5,CSminus_USlow
02BM,head,2,1,acquisition,16,5,CSplus_UShigh
02BM,head,2,1,acquisition,17,-5,CSminus_USlow
02BM,head,2,1,acquisition,18,2,CSplus_UShigh
02BM,head,2,1,acquisition,19,10,CSplus_UShigh
02BM,head,2,1,acquisition,20,-20,CSminus_USlow
02BM,head,2,1,acquisition,21,5,CSplus_UShigh
02BM,head,2,1,acquisition,22,10,CSplus_UShigh
02BM,head,2,1,acquisition,23,-5,CSminus_USlow
02BM,head,2,1,acquisition,24,-15,CSminus_USlow
02BM,head,2,2,test,25,-10,CSplus_UStest
02BM,head,2,2,test,26,-30,CSminus_USlow
02BM,head,2,2,test,27,5,CSplus_UStest
02BM,head,2,2,test,28,-5,UStest_only
02BM,head,2,2,test,29,2,CSplus_UStest
02BM,head,2,2,test,30,-5,CSminus_UStest
02BM,head,2,2,test,31,5,CSplus_UShigh
02BM,head,2,2,test,32,-35,CSplus_only
02BM,head,2,2,test,33,-30,UStest_only
02BM,head,2,2,test,34,-15,CSplus_UStest
02BM,head,2,2,test,35,5,CSplus_UShigh
02BM,head,2,2,test,36,-10,CSminus_USlow
02BM,head,2,2,test,37,-5,CSplus_UShigh
02BM,head,2,2,test,38,5,CSminus_UStest
02BM,head,2,2,test,39,-30,CSminus_USlow
02BM,head,2,2,test,40,5,CSminus_UStest
02BM,head,2,2,test,41,5,UStest_only
02BM,head,2,2,test,42,-10,CSminus_USlow
02BM,head,2,2,test,43,10,CSminus_USlow
02BM,head,2,2,test,44,-20,CSminus_only
02BM,head,2,2,test,45,5,CSplus_UShigh
02BM,head,2,2,test,46,-35,CSminus_only
02BM,head,2,2,test,47,10,CSplus_UShigh
02BM,head,2,2,test,48,10,CSplus_UShigh
02BM,head,2,2,test,49,-15,CSplus_only
02BM,head,2,2,test,50,5,CSminus_UStest
02BM,head,2,2,test,51,-5,CSminus_USlow
02BM,head,2,2,test,52,-5,CSplus_UShigh
02BM,head,2,2,test,53,-15,CSminus_USlow
02BM,head,2,2,test,54,-5,CSminus_USlow
02BM,head,2,2,test,55,5,CSplus_UShigh
02BM,head,2,2,test,56,-5,CSplus_UStest
02BM,head,2,2,test,57,5,CSplus_UShigh
02BM,head,2,2,test,58,-35,CSplus_only
02BM,head,2,2,test,59,-25,UStest_only
02BM,head,2,2,test,60,-25,CSminus_only
02BM,head,2,2,test,61,-10,CSminus_USlow
02BM,head,2,2,test,62,3,CSminus_UStest
02BM,head,2,2,test,63,-5,CSplus_UShigh
02BM,head,2,2,test,64,-10,CSminus_USlow
02BM,head,2,3,test,65,-30,CSplus_only
02BM,head,2,3,test,66,5,CSplus_UShigh
02BM,head,2,3,test,67,-20,CSminus_USlow
02BM,head,2,3,test,68,-15,CSplus_UShigh
02BM,head,2,3,test,69,-30,CSminus_only
